iter	Passed	Remaining
0	163	8184892
1	194	4865083
2	216	3605484
3	236	2956235
4	263	2637448
5	287	2398071
6	341	2439870
7	413	2580890
8	446	2478328
9	470	2353186
10	499	2269525
11	523	2181894
12	553	2127930
13	576	2057164
14	597	1990412
15	618	1931604
16	643	1890751
17	676	1879214
18	733	1928472
19	815	2037232
20	867	2065596
21	924	2100012
22	987	2146194
23	1021	2126632
24	1048	2096646
25	1143	2197290
26	1190	2203156
27	1237	2208969
28	1265	2180717
29	1330	2215612
30	1350	2176374
31	1370	2139561
32	1392	2108215
33	1422	2090596
34	1469	2097374
35	1488	2065675
36	1534	2071641
37	1564	2057324
38	1595	2043509
39	1626	2031645
40	1662	2026283
41	1703	2026223
42	1733	2014070
43	1813	2059304
44	1832	2034301
45	1874	2035457
46	1906	2026046
47	1951	2030499
48	2013	2052766
49	2061	2059900
50	2093	2050636
51	2138	2054517
52	2171	2046521
53	2202	2037322
54	2233	2028417
55	2262	2017647
56	2312	2025865
57	2357	2030225
58	2388	2021449
59	2419	2013571
60	2450	2006476
61	2544	2049324
62	2591	2054410
63	2621	2045185
64	2643	2030605
65	2684	2030676
66	2705	2016394
67	2727	2002475
68	2768	2003634
69	2808	2003611
70	2856	2008778
71	2936	2036375
72	2983	2040435
73	3036	2048928
74	3058	2036028
75	3208	2107714
76	3255	2110383
77	3279	2099143
78	3343	2112655
79	3401	2122318
80	3437	2118756
81	3484	2120986
82	3533	2125006
83	3562	2116999
84	3585	2105473
85	3610	2095367
86	3641	2088952
87	3697	2096949
88	3720	2086214
89	3813	2114622
90	3872	2123727
91	3966	2151498
92	3996	2144618
93	4058	2154951
94	4088	2147968
95	4106	2134569
96	4125	2122263
97	4167	2122126
98	4196	2115182
99	4243	2117400
100	4283	2116495
101	4305	2106370
102	4325	2095324
103	4356	2089987
104	4385	2084019
105	4405	2073699
106	4434	2067900
107	4490	2074456
108	4558	2086289
109	4620	2095733
110	4668	2098239
111	4699	2093312
112	4764	2103213
113	4780	2092107
114	4798	2081649
115	4836	2079939
116	4867	2075292
117	4941	2088785
118	4977	2086211
119	5006	2081033
120	5054	2083626
121	5103	2086399
122	5120	2076312
123	5142	2068334
124	5158	2058412
125	5178	2049618
126	5195	2040089
127	5212	2030890
128	5254	2031481
