iter	CrossEntropy
0	0.6437646347
1	0.6158046349
2	0.5904348485
3	0.5634180354
4	0.5499051672
5	0.5276449682
6	0.5135643776
7	0.505669626
8	0.4927469932
9	0.4887071246
10	0.4841415612
11	0.4804852003
12	0.4745327226
13	0.4728821414
14	0.4709440518
15	0.4682248586
16	0.4658365057
17	0.4610687343
18	0.4549715644
19	0.4516796856
20	0.4491763547
21	0.4439297818
22	0.4409150766
23	0.4371234302
24	0.4339392118
25	0.4317918919
26	0.4274050901
27	0.4249858519
28	0.422494046
29	0.4197594013
30	0.4166232825
31	0.4147222399
32	0.4132837543
33	0.4120008983
34	0.4107713387
35	0.4091398862
36	0.4079789417
37	0.4056294315
38	0.4040192166
39	0.4030903198
40	0.4023216193
41	0.4018999903
42	0.4008208341
43	0.3998869926
44	0.3993266768
45	0.3990924091
46	0.3973919741
47	0.3967119139
48	0.3961199097
49	0.395568315
50	0.3948065313
51	0.3946430703
52	0.3938318267
53	0.3934137952
54	0.3929129442
55	0.3922152899
56	0.3913540518
57	0.3908357022
58	0.3906944042
59	0.3905801224
60	0.3904883309
61	0.3897269184
62	0.3896998708
63	0.3893149588
64	0.388804517
65	0.3884645702
66	0.3875721819
67	0.3864134729
68	0.3861045773
69	0.3851362555
70	0.384128368
71	0.3833304752
72	0.3830286232
73	0.3828165923
74	0.3828165916
75	0.3827692385
76	0.3826934924
77	0.3825833039
78	0.3818004816
79	0.3810675276
80	0.3805329784
81	0.3799454176
82	0.3799045252
83	0.3796351694
84	0.378977869
85	0.3783857485
86	0.3781022757
87	0.3774368706
88	0.3770505327
89	0.3770504668
90	0.3768843757
91	0.3757451314
92	0.3755026096
93	0.375151252
94	0.3751202161
95	0.3743950005
96	0.3743949124
97	0.3739762536
98	0.3737658799
99	0.3732077989
100	0.3731039598
101	0.3719379107
102	0.3718602813
103	0.3716032244
104	0.3716032202
105	0.3712398613
106	0.3710659834
107	0.3707901581
108	0.3701423745
109	0.3699552281
110	0.3698951522
111	0.3683822967
112	0.3682310381
113	0.3682310346
114	0.3681635896
115	0.3680287746
116	0.367861153
117	0.3677199687
118	0.3670759571
119	0.3669593473
120	0.3663303125
121	0.3658979689
122	0.3658094614
123	0.3658053746
124	0.3654112848
125	0.3649614608
126	0.3649557741
127	0.3644262419
128	0.3643624976
129	0.3643223528
130	0.3638637516
131	0.3638406074
132	0.3636332561
133	0.3635988419
134	0.3633890694
135	0.3632634968
136	0.3632272888
137	0.3623910893
138	0.3622357601
139	0.3620098835
140	0.361807975
