iter	MAE
0	0.6622468348
1	0.6222823026
2	0.5851093875
3	0.5507144075
4	0.5219121756
5	0.4939555865
6	0.4738839885
7	0.4555462165
8	0.4392241155
9	0.4229978364
10	0.4085750842
11	0.3927503136
12	0.379947387
13	0.3695661605
14	0.3579373385
15	0.3480629938
16	0.3395835035
17	0.3315485173
18	0.3238019184
19	0.3177141178
20	0.3101356534
21	0.3052745383
22	0.3011511833
23	0.2957061126
24	0.2896389152
25	0.2862077728
26	0.2818175002
27	0.2778778938
28	0.2736599793
29	0.2703611712
30	0.2675241371
31	0.2637671724
32	0.2613694815
33	0.2587366996
34	0.2562631269
35	0.2543632516
36	0.2524327749
37	0.2500895487
38	0.2488041887
39	0.2469405688
40	0.2457469517
41	0.2441267437
42	0.2414698794
43	0.2393858703
44	0.238059569
45	0.2363534648
46	0.2354086937
47	0.2345003396
48	0.2332260788
49	0.2321066255
50	0.2313699969
51	0.2305313466
52	0.229624991
53	0.228416267
54	0.2276681971
55	0.2269741242
56	0.2263368469
57	0.2256135945
58	0.2244772782
59	0.2239089271
60	0.22342967
61	0.22255811
62	0.2214862901
63	0.2202520973
64	0.2196276591
65	0.2191586802
66	0.2184799122
67	0.2180607543
68	0.2174713096
69	0.2169756495
70	0.2165313122
71	0.2161853206
72	0.2157656003
73	0.215263873
74	0.2150272101
75	0.2144036969
76	0.2139615025
77	0.2129506935
78	0.2123191802
79	0.2120925616
80	0.2117649455
81	0.210906129
82	0.2106734346
83	0.210248377
84	0.2100650744
85	0.2098175059
86	0.2090449277
87	0.2088392165
88	0.2082609097
89	0.2080058789
90	0.207812165
91	0.2075949303
92	0.2074414164
93	0.2072616333
94	0.2069617124
95	0.2063547291
96	0.2061441302
97	0.2056714985
98	0.2051912119
99	0.2047794929
100	0.2045660552
101	0.2043026222
102	0.2041002638
103	0.2038073206
104	0.2035668517
105	0.2032874747
106	0.2029919141
107	0.2027711583
108	0.2026814357
109	0.2022539263
110	0.2018352742
111	0.201270846
112	0.2008980258
113	0.2006784097
114	0.2005930312
115	0.2002553792
116	0.2000418517
117	0.1999571381
118	0.1997016378
119	0.1993681419
120	0.1991674361
121	0.1988070491
122	0.1987298728
123	0.1983960577
124	0.1982474687
125	0.1981579
126	0.1980189792
127	0.1977339721
128	0.1975192039
129	0.1971981085
130	0.1970493143
131	0.1967965473
132	0.1966084124
133	0.1964616996
134	0.1961299692
135	0.1959944652
136	0.1958579739
137	0.195614389
138	0.1953732046
139	0.1951939295
140	0.1949548492
141	0.1948756056
142	0.1946329247
143	0.1945512296
144	0.1943341846
145	0.1942346075
146	0.194150833
147	0.1938706238
148	0.193730901
149	0.1933836206
150	0.1932629461
151	0.1931099525
152	0.1930085144
153	0.1927718296
154	0.192633936
155	0.1924109872
156	0.1923463216
157	0.1921573348
158	0.1920156153
159	0.1918939361
160	0.1917730222
161	0.1916877027
162	0.1914476058
163	0.1913314471
164	0.1912351194
165	0.1910241394
166	0.1908316432
167	0.1907644822
168	0.190689615
169	0.1905084589
170	0.1903188764
171	0.1902028158
172	0.1901399802
173	0.1900438988
174	0.1900186338
175	0.1899298234
176	0.1897883566
177	0.1896881738
178	0.1895935149
179	0.1894551644
180	0.1893777833
181	0.1892859701
182	0.1891892544
183	0.1891186664
184	0.1889813399
185	0.1888966396
186	0.1888455467
187	0.1888008072
188	0.1886863527
189	0.1886107672
190	0.1885585456
191	0.1884198577
192	0.1883849504
193	0.188282411
194	0.1882281688
195	0.1881902554
196	0.188132842
197	0.1878839859
198	0.1876725765
199	0.1875481913
200	0.1874065729
201	0.1873520617
202	0.1872866305
203	0.1871937585
204	0.1871486237
205	0.1869765832
206	0.1865546557
207	0.1864874094
208	0.1864617427
209	0.1864087983
210	0.1863368297
211	0.1862939659
212	0.1861552211
213	0.1860696178
214	0.1859848521
215	0.185948031
216	0.1859232984
217	0.1858992938
218	0.185423548
219	0.1853239819
220	0.1852400831
221	0.1851011749
222	0.1848437458
223	0.1847450462
224	0.1846899565
225	0.1846686488
226	0.1845580986
227	0.1844811256
228	0.18426582
229	0.1842197341
230	0.1841786041
231	0.1840810405
232	0.1840455789
233	0.1839298765
234	0.1837565761
235	0.1836290894
236	0.183564823
237	0.1835061434
238	0.1833888098
239	0.1833707947
240	0.1833353756
241	0.1833018141
242	0.1832436267
243	0.183188666
244	0.1829785498
245	0.1829407909
246	0.1829146739
247	0.1828588741
248	0.1826730573
249	0.1825954615
250	0.1825566293
